https://council.nyc.gov/district-1/", 1, Margaret S. Chin, https://council.nyc.gov/district-1/, Margaret S. Chin, https://council.nyc.gov/district-1/, Margaret S. Chin Head Shot, district-1.jpg, >Manhattan, Democrat, Battery Park City, Civic Center, Chinatown, Financial District, Little Italy, the Lower East Side, NoHo, SoHo, South Street Seaport, South Village, TriBeCa & Washington Square, Margaret S. Chin, mailto:chin@council.nyc.gov,  Margaret S. Chin, chin@council.nyc.gov, 
https://council.nyc.gov/district-2/", 2, Carlina Rivera, https://council.nyc.gov/district-2/, Carlina Rivera, https://council.nyc.gov/district-2/, Carlina Rivera Head Shot, district-2.jpg, >Manhattan, Democrat, East Village, Gramercy Park, Kips Bay, Lower East Side, Murray Hill, Rose Hill, Carlina Rivera, mailto:District2@council.nyc.gov,  Carlina Rivera, District2@council.nyc.gov, 
https://council.nyc.gov/district-3/", 3, Corey Johnson, https://council.nyc.gov/district-3/, Corey Johnson, https://council.nyc.gov/district-3/, Corey Johnson Head Shot, district-3.jpg, >Manhattan, Democrat, Chelsea, Hell’s Kitchen, Greenwich Village, West SoHo, Hudson Square, Times Square, Garment District, Flatiron, Upper West Side, Corey Johnson, mailto:SpeakerJohnson@council.nyc.gov,  Corey Johnson, SpeakerJohnson@council.nyc.gov, 
https://council.nyc.gov/district-4/", 4, Keith Powers, https://council.nyc.gov/district-4/, Keith Powers, https://council.nyc.gov/district-4/, Keith Powers Head Shot, district-4.jpg, >Manhattan, Democrat, Upper East Side, Carnegie Hill, Yorkville, Central Park South, Midtown East, Times Square, Koreatown, Stuyvesant Town and Peter Cooper Village, Waterside Plaza, Tudor City, Turtle Bay, Murray Hill, Sutton Place, Keith Powers, mailto:KPowers@council.nyc.gov,  Keith Powers, KPowers@council.nyc.gov, 
https://council.nyc.gov/district-5/", 5, Ben Kallos, https://council.nyc.gov/district-5/, Ben Kallos, https://council.nyc.gov/district-5/, Ben Kallos Head Shot, district-5.jpg, >Manhattan, Democrat, Upper East Side's Yorkville, Lenox Hill, Carnegie Hill, Roosevelt Island, Midtown East, Sutton Place, El Barrio in East Harlem, Ben Kallos, mailto:BKallos@BenKallos.com,  Ben Kallos, BKallos@BenKallos.com, 
https://council.nyc.gov/district-6/", 6, Helen Rosenthal, https://council.nyc.gov/district-6/, Helen Rosenthal, https://council.nyc.gov/district-6/, Helen Rosenthal Head Shot, district-6.jpg, >Manhattan, Democrat, Central Park, Lincoln Square, Upper West Side, Clinton, Helen Rosenthal, mailto:Helen@HelenRosenthal.com,  Helen Rosenthal, Helen@HelenRosenthal.com, 
https://council.nyc.gov/district-7/", 7, Mark Levine, https://council.nyc.gov/district-7/, Mark Levine, https://council.nyc.gov/district-7/, Mark Levine Head Shot, district-7.jpg, >Manhattan, Democrat, Manhattan Valley, Manhattanville, Morningside Heights, Hamilton Heights, Mark Levine, mailto:District7@council.nyc.gov,  Mark Levine, District7@council.nyc.gov, 
https://council.nyc.gov/district-8/", 8, Diana Ayala, https://council.nyc.gov/district-8/, Diana Ayala, https://council.nyc.gov/district-8/, Diana Ayala Head Shot, district-8.jpg, >Manhattan/Bronx, Democrat, El Barrio/East Harlem, Mott Haven, Highbridge, Concourse, Longwood, Port Morris, Diana Ayala, mailto:DAyala@council.nyc.gov,  Diana Ayala, DAyala@council.nyc.gov, 
https://council.nyc.gov/district-9/", 9, Bill Perkins, https://council.nyc.gov/district-9/, Bill Perkins, https://council.nyc.gov/district-9/, Bill Perkins Head Shot, district-9.jpg, >Manhattan, Democrat, Central Harlem, Morningside Heights, Upper West Side, East Harlem, Bill Perkins, mailto:D09perkins@council.nyc.gov,  Bill Perkins, D09perkins@council.nyc.gov, 
https://council.nyc.gov/district-10/", 10, Ydanis Rodriguez, https://council.nyc.gov/district-10/, Ydanis Rodriguez, https://council.nyc.gov/district-10/, Ydanis Rodriguez Head Shot, district-10.jpg, >Manhattan, Democrat, Washington Heights, Inwood, Marble Hill, Ydanis Rodriguez, mailto:yrodriguez@council.nyc.gov,  Ydanis Rodriguez, yrodriguez@council.nyc.gov, 
